"Name","Korean","English","Japanese","SimplifiedChinese","Spanish","Russian","PortugueseBrazil","German","French","Polish","TraditionalChinese","Turkish"
"Guide.Controls","조작 방법","Controls","操作方法","操作方式","Controles","Управление","Controles","Steuerung","Commandes","Sterowanie","操作方式","Kontroller"
"Guide.Rules","게임 규칙","Game rules","ゲームルール","游戏规则","Reglas del juego","Правила игры","Regras do jogo","Spielregeln","Règles du jeu","Zasady gry","遊戲規則","Oyun kuralları"
"Guide.Modes","게임 모드","Game modes","ゲームモード","游戏模式","Modos de juego","Режимы игры","Modos de jogo","Spielmodi","Modes de jeu","Tryby gry","遊戲模式","Oyun modları"
"Guide.Profile","프로필과 능력치","Profile & stats","プロフィールと能力値","个人资料与属性","Perfil y atributos","Профиль и характеристики","Perfil e atributos","Profil und Werte","Profil et attributs","Profil i atrybuty","個人資料與屬性","Profil ve özellikler"
"Guide.Pandora","판도라","Pandora","パンドラ","潘多拉","Pandora","Пандора","Pandora","Pandora","Pandora","Pandora","潘朵拉","Pandora"
"Guide.Items","아이템과 스킨","Items & skins","アイテムとスキン","物品与皮肤","Objetos y aspectos","Предметы и облики","Itens e visuais","Items und Skins","Objets et apparences","Przedmioty i skórki","道具與造型","Eşyalar ve görünümler"
"Guide.Paint","페인트와 채팅","Paint & chat","ペイントとチャット","涂鸦与聊天","Pintura y chat","Рисование и чат","Pintura e chat","Malen und Chat","Peinture et chat","Malowanie i czat","塗鴉與聊天","Boyama ve sohbet"
"Team.Red","빨강","Red","赤","红色","Rojo","Красный","Vermelho","Rot","Rouge","Czerwony","紅色","Kırmızı"
"Team.Blue","파랑","Blue","青","蓝色","Azul","Синий","Azul","Blau","Bleu","Niebieski","藍色","Mavi"
"Team.Yellow","노랑","Yellow","黄","黄色","Amarillo","Жёлтый","Amarelo","Gelb","Jaune","Żółty","黃色","Sarı"
"Team.Purple","보라","Purple","紫","紫色","Morado","Фиолетовый","Roxo","Violett","Violet","Fioletowy","紫色","Mor"
"Team.Green","초록","Green","緑","绿色","Verde","Зелёный","Verde","Grün","Vert","Zielony","綠色","Yeşil"
"Team.Orange","주황","Orange","オレンジ","橙色","Naranja","Оранжевый","Laranja","Orange","Orange","Pomarańczowy","橙色","Turuncu"
"Player.EditName","닉네임을 입력하고 Enter로 확정","Enter a nickname and press Enter","ニックネームを入力してEnterで確定","输入昵称并按回车确认","Escribe un apodo y pulsa Intro","Введите имя и нажмите Enter","Digite um apelido e pressione Enter","Namen eingeben und Enter drücken","Saisissez un pseudo et appuyez sur Entrée","Wpisz pseudonim i naciśnij Enter","輸入暱稱並按 Enter 確認","Takma ad girip Enter'a basın"
"Player.Team","팀 색상 선택","Choose team color","チームカラーを選択","选择队伍颜色","Elegir color de equipo","Выбрать цвет команды","Escolher cor da equipe","Teamfarbe wählen","Choisir la couleur d'équipe","Wybierz kolor drużyny","選擇隊伍顏色","Takım rengini seç"
"Player.Friend","친구 추가","Add friend","フレンドに追加","添加好友","Añadir amigo","Добавить в друзья","Adicionar amigo","Freund hinzufügen","Ajouter un ami","Dodaj znajomego","新增好友","Arkadaş ekle"
"Player.Kick","플레이어 내보내기","Remove player","プレイヤーを退出させる","移除玩家","Expulsar jugador","Исключить игрока","Remover jogador","Spieler entfernen","Exclure le joueur","Usuń gracza","移除玩家","Oyuncuyu çıkar"
"Player.Owner","방장","Host","ホスト","房主","Anfitrión","Создатель комнаты","Anfitrião","Host","Hôte","Gospodarz","房主","Oda sahibi"
"Config.Players","최대 인원","Max players","最大人数","最大人数","Máximo de jugadores","Максимум игроков","Máximo de jogadores","Max. Spieler","Joueurs maximum","Maks. graczy","最大人數","En fazla oyuncu"
"Config.Chests","상자 수","Chest count","宝箱の数","宝箱数量","Número de cofres","Количество сундуков","Número de baús","Anzahl der Truhen","Nombre de coffres","Liczba skrzyń","寶箱數量","Sandık sayısı"
"Settings.Language","언어","Language","言語","语言","Idioma","Язык","Idioma","Sprache","Langue","Język","語言","Dil"
"Settings.LanguageHint","모든 메뉴 화면에 적용됩니다","Applies to all menu screens","すべてのメニュー画面に適用","应用于所有菜单界面","Se aplica a todos los menús","Применяется ко всем меню","Aplica-se a todos os menus","Gilt für alle Menüs","S’applique à tous les menus","Dotyczy wszystkich ekranów menu","套用至所有選單畫面","Tüm menü ekranlarına uygulanır"
"Settings.AudioHint","게임 전체의 소리 크기를 조절합니다","Adjust the overall game volume","ゲーム全体の音量を調整","调整游戏整体音量","Ajusta el volumen general del juego","Общая громкость игры","Ajuste o volume geral do jogo","Gesamtlautstärke des Spiels anpassen","Réglez le volume général du jeu","Dostosuj ogólną głośność gry","調整遊戲整體音量","Oyunun genel ses düzeyini ayarlayın"
"Settings.Hint","변경 사항은 자동으로 저장됩니다","Changes are saved automatically","変更は自動的に保存されます","更改将自动保存","Los cambios se guardan automáticamente","Изменения сохраняются автоматически","As alterações são salvas automaticamente","Änderungen werden automatisch gespeichert","Les modifications sont enregistrées automatiquement","Zmiany są zapisywane automatycznie","變更會自動儲存","Değişiklikler otomatik kaydedilir"
"Settings.SaveFailed","언어를 적용했지만 저장하지 못했습니다. 다시 선택해 주세요.","Language applied, but saving failed. Select it again to retry.","言語は適用されましたが保存に失敗しました。もう一度選択してください。","语言已应用，但保存失败。请重新选择以重试。","Idioma aplicado, pero no guardado. Selecciónalo de nuevo.","Язык применён, но не сохранён. Выберите его снова.","Idioma aplicado, mas não foi salvo. Selecione novamente.","Sprache angewendet, aber nicht gespeichert. Erneut auswählen.","Langue appliquée, mais non enregistrée. Sélectionnez-la à nouveau.","Język zmieniony, ale niezapisany. Wybierz go ponownie.","語言已套用，但儲存失敗。請重新選擇以重試。","Dil uygulandı ancak kaydedilemedi. Tekrar seçin."
"Room.Hint","함께 전투할 방을 선택하세요","Choose a room to join the battle","一緒に戦うルームを選びましょう","选择房间，一起战斗","Elige una sala para combatir","Выберите комнату для боя","Escolha uma sala para lutar","Wähle einen Raum für den Kampf","Choisissez un salon pour combattre","Wybierz pokój do wspólnej walki","選擇房間，一起戰鬥","Savaşmak için bir oda seçin"
"Room.Available","참가 가능한 방","Available rooms","参加できるルーム","可加入的房间","Salas disponibles","Доступные комнаты","Salas disponíveis","Verfügbare Räume","Salons disponibles","Dostępne pokoje","可加入的房間","Uygun odalar"
"Room.Refresh","새로고침","Refresh","更新","刷新","Actualizar","Обновить","Atualizar","Aktualisieren","Actualiser","Odśwież","重新整理","Yenile"
"Room.Create","방 만들기","Create room","ルーム作成","创建房间","Crear sala","Создать комнату","Criar sala","Raum erstellen","Créer un salon","Utwórz pokój","建立房間","Oda oluştur"
"Room.Join","참가","Join","参加","加入","Unirse","Войти","Entrar","Beitreten","Rejoindre","Dołącz","加入","Katıl"
"Room.Empty","아직 열린 방이 없습니다. 새로고침하거나 방을 만들어 보세요.","No rooms found. Refresh or create a room.","ルームがありません。更新するか、ルームを作成してください。","暂无房间。请刷新或创建房间。","No hay salas. Actualiza o crea una sala.","Комнаты не найдены. Обновите список или создайте комнату.","Nenhuma sala encontrada. Atualize ou crie uma sala.","Keine Räume gefunden. Aktualisiere die Liste oder erstelle einen Raum.","Aucun salon trouvé. Actualisez ou créez un salon.","Brak pokoi. Odśwież listę lub utwórz pokój.","暫無房間。請重新整理或建立房間。","Oda bulunamadı. Yenileyin veya bir oda oluşturun."
"Room.Name","방 이름","Room name","ルーム名","房间名称","Nombre de la sala","Название комнаты","Nome da sala","Raumname","Nom du salon","Nazwa pokoju","房間名稱","Oda adı"
"Room.NameHint","방 이름을 입력하세요","Enter a room name","ルーム名を入力","输入房间名称","Escribe un nombre","Введите название","Digite um nome","Raumnamen eingeben","Saisissez un nom","Wpisz nazwę pokoju","輸入房間名稱","Oda adı girin"
"Common.Cancel","취소","Cancel","キャンセル","取消","Cancelar","Отмена","Cancelar","Abbrechen","Annuler","Anuluj","取消","İptal"
"Common.Connecting","연결 중…","Connecting…","接続中…","正在连接…","Conectando…","Подключение…","Conectando…","Verbindung wird hergestellt…","Connexion…","Łączenie…","連線中…","Bağlanıyor…"
"Map.Unknown","알 수 없는 맵","Unknown map","不明なマップ","未知地图","Mapa desconocido","Неизвестная карта","Mapa desconhecido","Unbekannte Karte","Carte inconnue","Nieznana mapa","未知地圖","Bilinmeyen harita"
"Shop.Hint","나만의 전투 스타일을 완성하세요","Create your own combat style","自分だけの戦闘スタイルを作ろう","打造专属战斗风格","Crea tu propio estilo de combate","Создайте свой стиль боя","Crie seu próprio estilo de combate","Gestalte deinen eigenen Kampfstil","Créez votre propre style de combat","Stwórz własny styl walki","打造專屬戰鬥風格","Kendi savaş tarzınızı oluşturun"
"Shop.Pandora","판도라","Pandora","パンドラ","潘多拉","Pandora","Пандора","Pandora","Pandora","Pandora","Pandora","潘朵拉","Pandora"
"Shop.Skins","스킨","Skins","スキン","外观","Aspectos","Облики","Visuais","Skins","Apparences","Skórki","外觀","Görünümler"
"Shop.Gold","보유 골드","Gold","所持ゴールド","持有金币","Oro","Золото","Ouro","Gold","Or","Złoto","持有金幣","Altın"
"Shop.Buy","구매하기","Purchase","購入","购买","Comprar","Купить","Comprar","Kaufen","Acheter","Kup","購買","Satın al"
"Shop.Price","{0} 골드","{0} Gold","{0} ゴールド","{0} 金币","{0} de oro","{0} золота","{0} de ouro","{0} Gold","{0} pièces d’or","{0} złota","{0} 金幣","{0} Altın"
"Shop.Owned","보유 중","Owned","所持済み","已拥有","En propiedad","Куплено","Adquirido","Im Besitz","Possédé","Posiadane","已擁有","Sahip olunan"
"Shop.Available","구매 가능","Available","購入可能","可购买","Disponible","Доступно","Disponível","Verfügbar","Disponible","Dostępne","可購買","Satın alınabilir"
"Shop.NeedGold","골드가 부족합니다","Not enough gold","ゴールドが不足しています","金币不足","No tienes suficiente oro","Недостаточно золота","Ouro insuficiente","Nicht genug Gold","Or insuffisant","Za mało złota","金幣不足","Yeterli altın yok"
"Shop.NotForSale","판매하지 않음","Not for sale","販売対象外","暂不出售","No está a la venta","Не продаётся","Não está à venda","Nicht im Verkauf","Non disponible à la vente","Nie na sprzedaż","暫不出售","Satılık değil"
"Shop.ComingSoon","업데이트 예정입니다","Coming in a future update","今後のアップデートで登場予定","将在后续更新中推出","Próximamente en una actualización","Появится в будущем обновлении","Em uma futura atualização","In einem künftigen Update verfügbar","Disponible dans une prochaine mise à jour","W przyszłej aktualizacji","將於後續更新推出","Gelecek bir güncellemede sunulacak"
"Shop.SelectItem","상품을 선택하세요","Select a product","商品を選んでください","请选择商品","Selecciona un producto","Выберите товар","Selecione um produto","Wähle ein Produkt","Sélectionnez un produit","Wybierz produkt","請選擇商品","Bir ürün seçin"
"Shop.AlreadyOwned","이미 보유한 상품입니다","You already own this product","すでに所持しています","您已拥有此商品","Ya tienes este producto","Этот товар уже куплен","Você já possui este produto","Du besitzt dieses Produkt bereits","Vous possédez déjà ce produit","Posiadasz już ten produkt","您已擁有此商品","Bu ürüne zaten sahipsiniz"
"Shop.Unsupported","현재 구매할 수 없는 상품입니다","This product cannot be purchased yet","現在この商品は購入できません","暂时无法购买此商品","Este producto aún no se puede comprar","Этот товар пока нельзя купить","Este produto ainda não pode ser comprado","Dieses Produkt kann noch nicht gekauft werden","Ce produit ne peut pas encore être acheté","Tego produktu nie można jeszcze kupić","暫時無法購買此商品","Bu ürün henüz satın alınamaz"
"Shop.Purchased","{0} 구매 완료","Purchased {0}","{0}を購入しました","已购买{0}","Has comprado {0}","Куплено: {0}","Você comprou {0}","{0} gekauft","Achat effectué : {0}","Kupiono: {0}","已購買{0}","{0} satın alındı"
"Shop.ResetDone","상점 데이터가 초기화되었습니다","Shop data reset","ショップデータをリセットしました","商店数据已重置","Datos de la tienda reiniciados","Данные магазина сброшены","Dados da loja redefinidos","Shopdaten zurückgesetzt","Données de la boutique réinitialisées","Dane sklepu zresetowane","商店資料已重設","Mağaza verileri sıfırlandı"
"Guide.Hint","판도라 배틀의 모든 것","Your guide to Pandora Battle","パンドラバトルのすべて","潘多拉战斗指南","Tu guía de Pandora Battle","Ваш путеводитель по Pandora Battle","Seu guia de Pandora Battle","Dein Leitfaden für Pandora Battle","Votre guide de Pandora Battle","Twój przewodnik po Pandora Battle","潘朵拉戰鬥指南","Pandora Battle rehberiniz"
"Record.Hint","지금까지의 전투를 돌아보세요","Look back on your battles","これまでの戦いを振り返ろう","回顾你的战斗历程","Repasa tus batallas","Вспомните свои сражения","Relembre suas batalhas","Blicke auf deine Kämpfe zurück","Revenez sur vos batailles","Przypomnij sobie swoje bitwy","回顧你的戰鬥歷程","Savaşlarınıza göz atın"
"Record.MyRecord","나의 기록","My record","自分の記録","我的记录","Mi historial","Мои результаты","Meu histórico","Meine Bilanz","Mon bilan","Moje wyniki","我的紀錄","Kayıtlarım"
"Record.Recent","최근 경기","Recent matches","最近の試合","最近比赛","Partidas recientes","Последние матчи","Partidas recentes","Letzte Partien","Parties récentes","Ostatnie mecze","最近比賽","Son maçlar"
"Record.RecentCount","최근 {0}경기","Last {0} matches","直近{0}試合","最近{0}场比赛","Últimas {0} partidas","Последние матчи: {0}","Últimas {0} partidas","Letzte {0} Partien","Les {0} dernières parties","Ostatnie {0} meczów","最近{0}場比賽","Son {0} maç"
"Record.TotalWins","누적 승리","Total wins","通算勝利","累计胜场","Victorias totales","Всего побед","Vitórias totais","Siege insgesamt","Victoires totales","Łączne zwycięstwa","累計勝場","Toplam galibiyet"
"Record.Progress","승리 진행도","Win progress","勝利の進捗","胜场进度","Progreso de victorias","Прогресс побед","Progresso de vitórias","Siegesfortschritt","Progression des victoires","Postęp zwycięstw","勝場進度","Galibiyet ilerlemesi"
"Record.Tier","티어 {0}","Tier {0}","ティア{0}","段位{0}","Nivel {0}","Ранг {0}","Nível {0}","Stufe {0}","Palier {0}","Poziom {0}","階級{0}","Kademe {0}"
"Record.Number","번호","No.","番号","编号","N.º","№","Nº","Nr.","N°","Nr","編號","No."
"Record.Result","결과","Result","結果","结果","Resultado","Результат","Resultado","Ergebnis","Résultat","Wynik","結果","Sonuç"
"Record.Kills","처치","Kills","撃破","击杀","Bajas","Убийства","Abates","Abschüsse","Éliminations","Zabójstwa","擊殺","Öldürme"
"Record.Deaths","사망","Deaths","デス","死亡","Muertes","Смерти","Mortes","Tode","Morts","Zgony","死亡","Ölüm"
"Record.Reward","보상","Reward","報酬","奖励","Recompensa","Награда","Recompensa","Belohnung","Récompense","Nagroda","獎勵","Ödül"
"Record.Win","승리","Win","勝利","胜利","Victoria","Победа","Vitória","Sieg","Victoire","Zwycięstwo","勝利","Zafer"
"Record.Lose","패배","Loss","敗北","失败","Derrota","Поражение","Derrota","Niederlage","Défaite","Porażka","敗北","Yenilgi"
"Record.Empty","아직 경기 기록이 없습니다","No matches recorded yet","まだ試合の記録がありません","暂无比赛记录","Aún no hay partidas registradas","Матчей пока нет","Ainda não há partidas registradas","Noch keine Partien aufgezeichnet","Aucune partie enregistrée","Brak rozegranych meczów","暫無比賽紀錄","Henüz maç kaydı yok"
"Info.All","전체","All","すべて","全部","Todo","Все","Tudo","Alle","Tous","Wszystkie","全部","Tümü"
"Info.Assigned","장착 중","Assigned","装備中","已装备","Equipado","Надето","Equipado","Ausgerüstet","Équipé","Założone","已裝備","Takılı"
"Info.Upgradeable","강화 가능","Upgradeable","強化可能","可强化","Mejorable","Можно улучшить","Aprimorável","Aufwertbar","Améliorable","Do ulepszenia","可強化","Geliştirilebilir"
"Info.Profile","프로필","Profile","プロフィール","资料","Perfil","Профиль","Perfil","Profil","Profil","Profil","資料","Profil"
"Info.Status","능력치","Status","能力値","属性","Atributos","Характеристики","Atributos","Attribute","Attributs","Atrybuty","屬性","Nitelikler"
"Info.Item","아이템","Item","アイテム","物品","Objeto","Предмет","Item","Gegenstand","Objet","Przedmiot","物品","Eşya"
"Info.Skin","스킨","Skin","スキン","外观","Aspecto","Облик","Visual","Aussehen","Apparence","Wygląd","外觀","Görünüm"
"Info.Pandora","판도라","Pandora","パンドラ","潘多拉","Pandora","Пандора","Pandora","Pandora","Pandora","Pandora","潘朵拉","Pandora"
"Info.Map","지도","Map","マップ","地图","Mapa","Карта","Mapa","Karte","Carte","Mapa","地圖","Harita"
"Info.Loadout","장착 구성","Loadout","装備構成","装备配置","Equipamiento","Снаряжение","Equipamento","Ausrüstung","Équipement","Wyposażenie","裝備配置","Donanım"
"Info.Inventory","소지품","Inventory","インベントリ","背包","Inventario","Инвентарь","Inventário","Inventar","Inventaire","Ekwipunek","背包","Envanter"
"Info.SkinInventory","보유 스킨","Skin Inventory","所持スキン","拥有的外观","Aspectos","Облики","Visuais","Aussehen","Apparences","Wyglądy","擁有的外觀","Görünümler"
"Skin.Loadout","스킨 장착","Equipped Skins","スキン装備","外观装备","Aspectos equipados","Надетые облики","Visuais equipados","Ausgerüstete Skins","Apparences équipées","Założone skórki","外觀裝備","Takılı görünümler"
"Skin.EquipHint","부위를 선택한 뒤 스킨을 선택하세요","Select a slot, then choose a skin","部位を選んでからスキンを選択してください","先选择部位，再选择外观","Selecciona una ranura y luego un aspecto","Выберите ячейку, затем облик","Selecione um espaço e depois um visual","Wähle einen Platz und dann einen Skin","Choisissez un emplacement, puis une apparence","Wybierz miejsce, a następnie skórkę","先選擇部位，再選擇外觀","Önce bir yuva, sonra bir görünüm seçin"
"Skin.OpenPaint","페인트 열기","Open Paint","ペイントを開く","打开绘画","Abrir pintura","Открыть рисование","Abrir pintura","Malen öffnen","Ouvrir la peinture","Otwórz malowanie","開啟繪畫","Boyamayı aç"
"Skin.PaintHint","직접 그린 그림으로 개성을 표현하세요","Express yourself with your own drawings","自分で描いた絵で個性を表現しましょう","用自己的画作展现个性","Exprésate con tus propios dibujos","Выразите себя собственными рисунками","Expresse-se com seus próprios desenhos","Zeige deinen Stil mit eigenen Zeichnungen","Exprimez-vous avec vos propres dessins","Wyraź siebie własnymi rysunkami","用自己的畫作展現個性","Kendi çizimlerinizle kendinizi ifade edin"
"Info.PandoraDex","판도라 도감","Pandora Dex","パンドラ図鑑","潘多拉图鉴","Códice Pandora","Атлас Пандоры","Códice Pandora","Pandora-Lexikon","Codex Pandora","Kodeks Pandory","潘朵拉圖鑑","Pandora rehberi"
"Info.Upgrade","판도라 성장","Upgrade","パンドラ強化","潘多拉强化","Mejorar","Улучшить","Aprimorar","Verbessern","Améliorer","Ulepsz","潘朵拉強化","Geliştir"
"Info.DragHint","아이템을 캐릭터에 끌어 장착하세요","Drag items onto your character","キャラクターにドラッグして装備","拖到角色上装备","Arrastra objetos al personaje","Перетащите предмет на персонажа","Arraste itens ao personagem","Gegenstände auf die Figur ziehen","Glissez les objets sur le personnage","Przeciągnij przedmiot na postać","拖曳到角色上裝備","Eşyaları karaktere sürükle"
"Info.Weapons","무기","Weapons","武器","武器","Armas","Оружие","Armas","Waffen","Armes","Broń","武器","Silahlar"
"Info.CombatEquipment","전투 장비","Combat Equipment","戦闘装備","战斗装备","Equipo de combate","Боевое снаряжение","Equipamento de combate","Kampfausrüstung","Équipement de combat","Sprzęt bojowy","戰鬥裝備","Savaş donanımı"
"Info.Accessories","장신구","Accessories","装飾品","饰品","Accesorios","Аксессуары","Acessórios","Accessoires","Accessoires","Akcesoria","飾品","Aksesuarlar"
"Info.QuickSlots","퀵 슬롯","Quick Slots","クイックスロット","快捷栏","Acceso rápido","Быстрые слоты","Atalhos","Schnellzugriff","Accès rapide","Szybkie sloty","快捷欄","Hızlı yuvalar"
"Info.InteractSlots","도구 슬롯","Interact Slots","道具スロット","工具栏","Herramientas","Инструменты","Ferramentas","Werkzeuge","Outils","Narzędzia","工具欄","Araç yuvaları"
"Info.Outfits","의상","Outfits","衣装","服装","Atuendos","Одежда","Trajes","Kleidung","Tenues","Stroje","服裝","Kıyafetler"
"Info.Cosmetics","꾸미기","Cosmetics","装飾","装饰","Adornos","Украшения","Adornos","Kosmetik","Ornements","Ozdoby","裝飾","Süslemeler"
"Info.Gestures","동작","Gestures","ジェスチャー","动作","Gestos","Жесты","Gestos","Gesten","Gestes","Gesty","動作","Hareketler"
"Info.Companions","동료","Companions","仲間","伙伴","Compañeros","Спутники","Companheiros","Begleiter","Compagnons","Towarzysze","夥伴","Yoldaşlar"
"Info.Draw","페인트","Draw","ペイント","绘画","Pintar","Рисование","Pintar","Malen","Peinture","Malowanie","繪畫","Boyama"
"Info.Hat","모자","Hat","帽子","帽子","Sombrero","Шляпа","Chapéu","Hut","Chapeau","Kapelusz","帽子","Şapka"
"Info.Top","상의","Top","上着","上衣","Parte superior","Верх","Parte superior","Oberteil","Haut","Góra","上衣","Üst"
"Info.Bottom","하의","Bottom","ボトムス","下装","Parte inferior","Низ","Parte inferior","Unterteil","Bas","Dół","下裝","Alt"
"Info.Shoes","신발","Shoes","靴","鞋子","Calzado","Обувь","Calçados","Schuhe","Chaussures","Buty","鞋子","Ayakkabı"
"Info.Earring","귀걸이","Earring","耳飾り","耳环","Pendiente","Серьга","Brinco","Ohrring","Boucle d’oreille","Kolczyk","耳環","Küpe"
"Info.Necklace","목걸이","Necklace","首飾り","项链","Collar","Ожерелье","Colar","Halskette","Collier","Naszyjnik","項鍊","Kolye"
"Info.Ring","반지","Ring","指輪","戒指","Anillo","Кольцо","Anel","Ring","Anneau","Pierścień","戒指","Yüzük"
"Info.Rune","룬","Rune","ルーン","符文","Runa","Руна","Runa","Rune","Rune","Runa","符文","Rün"
"Info.Head","머리","Head","頭","头部","Cabeza","Голова","Cabeça","Kopf","Tête","Głowa","頭部","Baş"
"Info.SkinColor","피부색","Skin Color","肌の色","肤色","Color de piel","Цвет кожи","Cor da pele","Hautfarbe","Couleur de peau","Kolor skóry","膚色","Ten rengi"
"Info.Back","등","Back","背中","背部","Espalda","Спина","Costas","Rücken","Dos","Plecy","背部","Sırt"
"Info.Aura","오라","Aura","オーラ","光环","Aura","Аура","Aura","Aura","Aura","Aura","光環","Aura"
